name,location,address,hours,services,direction_link
KL Eco City Mall,Federal Territory of Kuala Lumpur,"G-12, Ground Floor, KL Eco City Mall, INC, 3, Jalan Bangsar, KL Eco City, 59200 Kuala Lumpur, Federal Territory of Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
"Alam Budiman, Shah Alam",Selangor,"No 53-G, Jalan Pulau Lumut P U10/P, Alam Budiman, Seksyen U10, 40170 Shah Alam, Selangor",Not specified,"Coffee, Food, Beverages",
Elmina Lakeside Mall,Selangor Darul Ehsan,"GF-95 & 96, Elmina Lakeside Mall, No.5 & No.7, Persiaran Garcinia, Seksyen U15, 40170 Shah Alam, Selangor Darul Ehsan",Not specified,"Coffee, Food, Beverages",
Pinnacle Sri Petaling Mall,57000 Kuala Lumpur,"G-K-01, Ground Floor, Pinnacle Sri Petaling Mall, Jalan Radin Anum 1, Bandar Baru Sri Petaling, 57000 Kuala Lumpur, Malaysia",Not specified,"Coffee, Food, Beverages",
"Dataran Glomac, Kelana Jaya",Selangor.,"C-G-05 (Ground Floor), Jalan SS 6/5b, Dataran Glomac, 47301 Petaling Jaya, Selangor.",Not specified,"Coffee, Food, Beverages",
"UOA Business Park, Shah Alam",Seksyen U1 40150 Selangor Darul Ehsan,"Unit Lot- 13-03A, Level 1, UOA Business Park, No 1, Jalan Pengatucara U1/51A, Seksyen U1 40150 Selangor Darul Ehsan",Not specified,"Coffee, Food, Beverages",
Atria Shopping Gallery,Selangor,"Atria Shopping Mall, Kiosk CK9, Concourse Floor, Jalan SS 22/23, Damansara Jaya, 47400 Petaling Jaya, Selangor",Not specified,"Coffee, Food, Beverages",
"Lebuh Turi, Klang",Selangor,"Lot No. 88 (Ground Floor), Lebuh Turi, Taman Chi Liung, 41200 Klang, Selangor",Not specified,"Coffee, Food, Beverages",
"Ground Floor, Menara IQ",TRX 55188 Kuala Lumpur,"Unit 001, Ground Floor, Menara IQ, TRX 55188 Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
"ZUS, Coffee Meets Pastry – 1 Utama Shopping Centre",Selangor,"Lot G601A, Ground Floor, 1 Utama Shopping Centre, 1, Lebuh Bandar Utama, Bandar Utama, 47800 Petaling Jaya, Selangor",Not specified,"Coffee, Food, Beverages",
"Taman Segar Perdana, Cheras",Selangor.,"No 07GF) Jalan Segar Perdana 2, Taman Segar Perdana, 43200 Cheras, Selangor.",Not specified,"Coffee, Food, Beverages",
Sabak Bernam,Selangor,"No.100 (Ground Floor), Jalan Menteri, Pekan Sabak, 45200 Sabak Bernam, Selangor",Not specified,"Coffee, Food, Beverages",
"Jalan Kebun Nenas, Klang",Selangor,"No 47-G Jalan Kebun Nenas 7A/KS8, Bandar Putera 2, 41200 Klang, Selangor",Not specified,"Coffee, Food, Beverages",
Menara TH Perdana,Wilayah Persekutuan Kuala Lumpur,"Unit L02,Tingkat Bawah, Jln Sultan Ismail, Chow Kit, 50250 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
MRT Bandar Utama,Selangor.,"MRT Bandar Utama (Kajang Line), Station Concourse area, Persiaran Bandar Utama, Bandar Utama, 47800 Petaling Jaya, Selangor.",Not specified,"Coffee, Food, Beverages",
"Micasa Shoppes, Jalan Tun Razak",Wilayah Persekutuan,"Lot G.11 & Mezzanine, Micasa Shoppes, 368A, Jln Tun Razak, Taman U Thant, 55000 Kuala Lumpur, Wilayah Persekutuan",Not specified,"Coffee, Food, Beverages",
Wisma TH Plaza Sentral,50470 Kuala Lumpur,"L-01B, Jalan Stesen Sentral 5, Kuala Lumpur Sentral, 50470 Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
"Pertama Complex, Kuala Lumpur",50100 Kuala Lumpur,"Kiosk No. 3, Kompleks Pertama, Jalan Tuanku Abdul Rahman, 50100 Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
"Pekan Kapar, Klang",Selangor,"No. 228 (Ground Floor), Jalan Besar KU/13, Pekan Kapar, 42200 Kapar, Selangor",Not specified,"Coffee, Food, Beverages",
"Sri Rampai, Setapak",53300 Kuala Lumpur.,"No.39 (Ground Floor), Jalan 45/26 Taman Sri Rampai, 53300 Kuala Lumpur.",Not specified,"Coffee, Food, Beverages",
Bloomsvale Shopping Gallery,Wilayah Persekutuan Kuala Lumpur,"G-018, Level Ground Floor, Bloomsvale Shopping Gallery, 137, Jalan Puchong, 58200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
Bandar Mahkota Cheras,Selangor.,"GK-01, BMC Mall. Jalan Temenggung 21/9, Bandar Mahkota Cheras, 43200 Cheras, Selangor.",Not specified,"Coffee, Food, Beverages",
KL Traders Square,KUALA LUMPUR,"51-G, KLTS, NO. 99, JALAN GOMBAK, SETAPAK, 53000, KUALA LUMPUR",Not specified,"Coffee, Food, Beverages",
"Bandar Kinrara 5, Puchong",Selangor,"No 10(GF), Jalan BK 5A/2C, Bandar Kinrara 5, 47180 Puchong, Selangor",Not specified,"Coffee, Food, Beverages",
KPJ Kajang Specialist Hospital,Selangor.,"KPJ Kajang Specialist Hospital, Jalan Cheras, Kampung Sungai Kantan, 43000 Kajang, Selangor.",Not specified,"Coffee, Food, Beverages",
Kuala Kubu Baru,Selangor,"No.18(GF), Jalan Mat Kilau, Pekan Kuala Kubu Bharu, 44000 Kuala Kubu Baru, Selangor",Not specified,"Coffee, Food, Beverages",
"Menara Axis, Petaling Jaya",Selangor,"Grd-05, Ground Floor, Menara Axis, No 2, Jalan 51A/ 223,46100 Petaling Jaya, Selangor",Not specified,"Coffee, Food, Beverages",
Central I-City,Selangor,"Lot L1-10A, Level One, Central I-City, No. 1, Persiaran Multimedia, Seksyen 7, Jalan Plumbum 7/102, I-City, 40000 Shah Alam, Selangor",Not specified,"Coffee, Food, Beverages",
Taman Sri Muda,Selangor,"No.16-G (Ground Floor), Jalan Murni 25/61, Taman Sri Muda, 40400 Shah Alam, Selangor",Not specified,"Coffee, Food, Beverages",
"Alam Avenue 2, Shah Alam Seksyen 16",Selangor,"C-15-G, Jalan Serai Wangi L 16/L, Seksyen 16, Alam Avenue 2, 40200 Shah Alam, Selangor",Not specified,"Coffee, Food, Beverages",
Kuchai Entrepreneurs Park,58200 Kuala Lumpur.,"No. 29 (Ground Floor), Jalan 1/116 B, Off, Jalan Kuchai Lama, Kuchai Entrepreneurs Park, 58200 Kuala Lumpur.",Not specified,"Coffee, Food, Beverages",
"Jalil Link 1, Bukit Jalil",Bukit Jalil 57000 WP Kuala Lumpur,"No.20(GF), Jalan Jalil Jaya 2, Jalil Link, Bukit Jalil 57000 WP Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
Menara Technip Energies,Federal Territory of Kuala Lumpur,"Menara Technip Energies, 38, Jalan Inai, Imbi, 55100 Kuala Lumpur, Federal Territory of Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
"Jakel Mall, Kuala Lumpur",50100 Kuala Lumpur,"Lot SC.02 & SC.03, Jakel Mall, Lot 159, Jakel Square Off, Jalan Munshi Abdullah, City Centre, 50100 Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
"Anggun City, Rawang",Selangor,"Lot 40-1, Pusat Komersial Anggun City, 1, Jalan Anggun City 1, Taman Anggun, 48000 Rawang, Selangor",Not specified,"Coffee, Food, Beverages",
"Olive Business Park, Seri Kembangan",Selangor.,"No 36 (LG), Jalan BS 1/3, Pusat Perdagangan Olive Hill, Taman Bukit Serdang Seksyen 1, 43300 Seri Kembangan, Selangor.",Not specified,"Coffee, Food, Beverages",
Bukit Tinggi 1,Kuala Lumpur/Selangor,"No.26-G, Lorong Batu Nilam 3a, Bandar Bukit Tinggi 41200 Klang",Not specified,"Coffee, Food, Beverages",
CALTEX Eco Ardence,Selangor,"No. 2, Jalan Eco Ardence U12/36, Seksyen U12 40170, Shah Alam, Selangor",Not specified,"Coffee, Food, Beverages",
"Jalan Seri Mas 1, Hulu Langat",Selangor.,"No.33 (Ground Floor), Jalan Seri Mas 1, Taman Seri Emas, 43100 Hulu Langat, Selangor.",Not specified,"Coffee, Food, Beverages",
Pekan Semenyih,Selangor.,"No.40 (Ground Floor), Jalan Pasar Baru, Pekan Semenyih, 43500 Semenyih, Selangor.",Not specified,"Coffee, Food, Beverages",
Solaris Mont Kiara,Wilayah Persekutuan Kuala Lumpur,"Lot K-OG-14, Soho KL Mont Kiara, No. 2, Jalan Solaris, Solaris Mont Kiara, 50480, Wilayah Persekutuan Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
"Cyberview 23A, Cyberjaya",63000 Cyberjaya Selangor,"Cyberview 23A, Persiaran APEC Cyber 6, 63000 Cyberjaya Selangor",Not specified,"Coffee, Food, Beverages",
Monash University Malaysia,Selangor Darul Ehsan,"3124C, Lepak Place, Monash University Malaysia, Jalan Lagoon Selatan, 47500 Bandar Sunway, Selangor Darul Ehsan",Not specified,"Coffee, Food, Beverages",
Semua House,Wilayah Persekutuan Kuala Lumpur,"GF.04, Ground Floor, Semua House, Jalan Bunus 6, City Centre, 50100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
Southville City,Selangor,"A�G�09 (Ground Floor), Savanna Lifestyle Retail Jalan BBLS 2, Bandar Baru Lembah Selatan, 43800 Dengkil, Selangor",Not specified,"Coffee, Food, Beverages",
